date,abstract,rating,workLifeBalance,cultureAndValues,careerOpportunities,compensationAndBenefits,seniorManagement,authorJobTitle,tenure,pro,con
"March 14, 2020",Good company,3.0,,,,,,Current Employee - Employees,I have been working at Bharti Airtel full-time for more than a year,Great benefits for Employees .,Nothing nothing nothing nothing nothing
"February 26, 2020",Overall good & supportive staff,4.0,,,,,,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time for less than a year,Overall good & supportive staff,Some time we have to do 2 consecutive shift
"February 26, 2020",Great company,4.0,2.0,4.0,4.0,4.0,5.0,Former Employee - Senior Marketing Manager,I worked at Bharti Airtel full-time for more than 3 years,Great vision and even better at execution. Excellent HR policies and facilities,"Work life balance can take a toll, but it's fun to work here so you don't mind!"
"February 26, 2020",Best company to start your career,4.0,3.0,5.0,4.0,3.0,4.0,Current Employee - Project Analyst,I have been working at Bharti Airtel full-time for more than a year,Learning   Good salary   Best infrastructure   Transport facility   Good food and snacks  Supportive culture,Less growth (depends on your profile)
"February 25, 2020",Airtel,4.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Bharti Airtel,I worked at Bharti Airtel full-time for less than a year,Th cafeteria is very good.,No cons i could find
"February 19, 2020",Great,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,Amazing work culture and balance,Huge opportunities to take at once
"February 19, 2020",Job review,4.0,5.0,5.0,4.0,5.0,4.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for less than a year,Work culture is great in the company,Not much growth with in the company
"February 18, 2020",Airtel,5.0,,,,,,Current Employee - Call Center Agent,I have been working at Bharti Airtel full-time,In mohali punjab process,6 months experience I have in prepaid
"February 18, 2020",Excellent workplace,5.0,,,,,,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,"Good work environment, have good professional growth opportunity",Rating system to be updated
"February 18, 2020",good,4.0,3.0,5.0,4.0,5.0,4.0,Current Employee - Network Engineer,I have been working at Bharti Airtel full-time for more than a year,"Best health benefits, schemes,HR support.","If you are working for client , salary is very low depending on project."
"February 17, 2020",Tele chin company,4.0,,,,,,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,Good company for to work,No work life valve
